model,most_abs,num_most_abs,2nd_abs,num_2nd_abs,3rd_abs,num_3rd_abs,4th_abs,num_4th_abs,5th_abs,num_5th_abs,6th_abs,num_6th_abs,7th_abs,num_7th_abs,8th_abs,num_8th_abs,9th_abs,num_9th_abs,10th_abs,num_10th_abs
dnsmos,freqbin_15,1.6023654253819026,freqbin_14,1.4676817351957265,freqbin_26,1.4446232481411339,freqbin_24,1.383410609749516,freqbin_30,1.3050435776997105,freqbin_20,1.302147965954476,freqbin_16,1.2831372051084442,freqbin_17,1.2605577462896962,freqbin_28,1.2583176747940854,freqbin_23,1.2406175283191982
mosnet,freqbin_6,9.746764512705584,freqbin_12,6.625661423081778,freqbin_17,6.420163283307977,freqbin_9,6.032063746204997,freqbin_4,5.191170051938399,freqbin_16,4.956237382723004,freqbin_8,4.923415104545141,freqbin_15,4.4167044936005775,freqbin_14,4.147971516144777,freqbin_18,3.734814941242821
scoreq,freqbin_2,1.4483380283122775,freqbin_20,1.0085992329678453,freqbin_3,1.0049364364278874,freqbin_21,0.8378263733292803,freqbin_19,0.8291702197986527,freqbin_24,0.8074250134512453,freqbin_28,0.7793066616328063,freqbin_43,0.7662508704162343,freqbin_4,0.7467907632878632,freqbin_1,0.7206046938916566
