0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
3.6366114530099547,3.472803224240278,3.3319562827199727,3.1991559989506007,3.1260311401597973,3.0766306956959864,3.059343981046333,3.0556026067924202,3.054988211300816,3.0552509303472517,3.0556142060536136,3.055971157591289,3.056917974964286,3.0574791464824163,3.0581240202328384,3.0586062886585137,3.058957812044037,3.0592209121419667,3.059464811671113,3.0596752549283646,3.0598376484266496,3.059929995978882,3.060009121428624,3.060028814050305,3.0600313391407394,3.060013380238883,3.0599538618831006,3.0598552106955186,3.059773877652085,3.0596531341636095,3.0595235028972425,3.0593271125167694,3.0589814193504896,3.0588297399742768,3.0586494011450407,3.058366049583343,3.058131094544149,3.057800827532477,3.057641914810506,3.0574678070353123,3.0572538627173373,3.057116847570015,3.056942273416788,3.0568280774308643,3.0567647102136455,3.056721290282672,3.056705259671971,3.056701804966168,3.056825410726916,3.057104925169994,3.057489959339915,3.057791413000471,3.058946033076219
3.380256620039728,3.1445110192643315,3.1002543185989424,3.078058006058942,3.0712657790147553,3.062758459987162,3.057439405812959,3.0547804893207946,3.05140979534515,3.0494483441122022,3.0481664090563387,3.0472612786896627,3.0464686064038795,3.045949319759738,3.0455762812805114,3.045515820610853,3.0455892972757854,3.0458073403716206,3.0462413312497096,3.0464937829048906,3.046873732199268,3.0475260422254555,3.0479126788347077,3.048455740294799,3.0491956135629796,3.049955775214078,3.050347198279539,3.050980772086226,3.0518309496675995,3.052847421872506,3.053399441045805,3.0540498681910346,3.05453050015098,3.0551545558237154,3.0556420366714603,3.0561429096930492,3.056794426431155,3.057470579629871,3.057934035887376,3.0586916398249713,3.0595061259422716,3.060385860030154,3.0610037250547473,3.0619933420040915,3.062709757297938,3.063712165210411,3.0647491241173737,3.0656152770560183,3.0666853586312355,3.0676833903605893,3.0687563688867794,3.0698723335462743,3.0725943758162524
3.4147348947040768,3.3172039075895383,3.2978114768766993,3.2837841403488186,3.2733615453376967,3.258581897785486,3.247061772529677,3.2393019965876815,3.2320542535479766,3.2193788923408864,3.208109283935918,3.196594923613162,3.1898336390542643,3.177965312464904,3.166565987579199,3.1554505019982373,3.1370132214651623,3.127470264866059,3.116384766605334,3.0976919313792997,3.086435532816782,3.0757166927556208,3.058666336504675,3.035473720156548,3.0130386620571628,2.993048606289587,2.966835297643057,2.9498391253175194,2.9334922293257804,2.9218048447473994,2.9100138350300977,2.8989180158262955,2.8934833912845956,2.887660787830524,2.881715394991574,2.8792653544462965,2.8757041892798036,2.8730411149224375,2.8709141000399767,2.868523830683842,2.8660212235706797,2.8642728878893364,2.8612320198764687,2.8592653268160677,2.857275781166297,2.8551297458837,2.8533342009253984,2.852008865127529,2.8504609316761202,2.8492854702503183,2.84824078692882,2.8470382096155142,2.846746673479248
3.2582411444493355,3.203878076297341,3.199180608441831,3.1969843322604627,3.1951516307096,3.1930495613247523,3.1910260439663585,3.1879033960704644,3.183886087969195,3.17642771201572,3.1690294486338293,3.160342661066887,3.1524103648370914,3.143863934907046,3.13643825040177,3.1208230962983583,3.103260496789531,3.086747693887295,3.08012562950113,3.0764302571855975,3.073652300382888,3.0702840631782515,3.0658261450877395,3.061349495529501,3.0522796935639818,3.0488573834920265,3.0444723133402585,3.0425822964788156,3.0408152285149534,3.039409461026803,3.037982634014912,3.036624512708255,3.0357877315136177,3.0349739263226363,3.0338964542302165,3.032374964067247,3.031182215201983,3.030347766088095,3.0293336025355364,3.0287680262289896,3.028221315782436,3.027693559327151,3.0271832110898806,3.026513447627058,3.0258038736931865,3.0252872026519233,3.024977550531611,3.0245536787005123,3.0243377193330327,3.024022437232215,3.0238287535591666,3.0248597102513184,3.029701662173355
3.2953742008339186,3.240833758168687,3.2294693425737457,3.2234047119123326,3.2183521671232636,3.211966242913023,3.2062315126289174,3.2033463607223656,3.198849426917074,3.1933483445900523,3.189841948976146,3.1863402786105537,3.1843858024307123,3.1792472180730584,3.1728344749634245,3.166038917546442,3.158068824199413,3.1515868685123207,3.1459941469390094,3.1433394649728235,3.1413037749316346,3.1399238494345463,3.141505330974646,3.143047474360654,3.143147865151235,3.142550265577071,3.141533996454732,3.140539837396493,3.140149934652035,3.1394717975943873,3.139000005221396,3.138448992191538,3.13800833222155,3.1376028496774504,3.1364058843068507,3.1354798564706474,3.134425440984353,3.1334717797867047,3.1321916263230882,3.131508630510147,3.1298438942200115,3.128320015638422,3.1259713926020285,3.1228581008264724,3.118418104262932,3.1125675860892454,3.1090349008697227,3.1081036029886597,3.1070710924592175,3.10619364981907,3.1050282588329905,3.103887635598645,3.1004328301154818
3.2302793816662136,3.1073551276544285,3.099487560464133,3.0951144966703077,3.09226999833363,3.0907550002456365,3.0895151861548404,3.088732607659202,3.087902417908619,3.087578220075284,3.0873995757814137,3.0875625734691585,3.0877985340725127,3.088713034808777,3.089531327150002,3.0915070451424547,3.0939880535625637,3.09942572432919,3.1070370482398775,3.1127299542402564,3.1297593966611412,3.1373762047899465,3.146766327435925,3.1495908683521563,3.1494382233489246,3.148017795774024,3.146527262744665,3.1440181109496836,3.1418634683187485,3.1397045173763756,3.137136580400483,3.1354582344963084,3.134370714905343,3.1328866249003884,3.1312980487646103,3.129899943787869,3.128378229372671,3.126153515586429,3.1243428814370677,3.1227663278067173,3.120576352544368,3.1192067032595974,3.117307442020012,3.114738306386464,3.1113229736545107,3.1093674212867537,3.107079439580988,3.104996122239269,3.1018296250848345,3.0993305921372163,3.094469960356581,3.0881900803098947,3.08129940004237
3.245885933379369,3.189769724622559,3.170026930694658,3.156866779723421,3.146354573233156,3.1383988016920217,3.1310738711811927,3.1271328899116333,3.1191471905129324,3.114836097427715,3.1082721018105097,3.1042685987671685,3.0955822507575745,3.089041987334652,3.0846968480530266,3.0808994568034134,3.077678243755572,3.073167297576631,3.068596850888749,3.0636761997282544,3.0574730855029384,3.053375622508018,3.0460637895256633,3.0400171636542312,3.0321288296594067,3.0270538319823674,3.018008864262552,3.0116103118004185,3.0058576723673682,2.999055796945288,2.9933428750953426,2.9886365850376526,2.985497899251813,2.9826884113621577,2.977925858111087,2.973911208353542,2.9702956884819516,2.9675294583274736,2.9652604997469014,2.9633666843459707,2.9632308597155452,2.964714578575536,2.967479795072033,2.97341552804211,2.980704633341646,2.988622020741711,3.0097458357335944,3.0510341549214544,3.0891216298950064,3.119765176375053,3.1425245729219107,3.1525014147823067,3.180017951144318
3.0453198303706364,3.006328220171879,3.0007671548704,2.998362994851979,2.996138183720475,2.994414116710446,2.992903612135011,2.9912183445930745,2.989807364332229,2.9880725977085905,2.986893581505456,2.9852186824151454,2.983547627042123,2.982339092888289,2.981308547719662,2.9796788818917848,2.9775614693425108,2.9758858266167594,2.974673564166251,2.9733098988796622,2.971632935987236,2.9694906837149335,2.967863251503029,2.966928600599477,2.966026924640015,2.9645611063304607,2.9636549593701336,2.9623202001580373,2.960503798838103,2.9590109489884484,2.95788135876748,2.956827949097313,2.956323008591737,2.9557832955418815,2.955595074251186,2.955539838907437,2.955877073484358,2.957132612621059,2.9586565219462155,2.95983691579512,2.9624842475641366,2.967861634049789,2.974536650709631,2.9813166715897745,2.987839317062403,2.994692435318452,3.0017172735093145,3.0203053687824677,3.0417951179534786,3.059366875224287,3.110969675545106,3.1608892334256797,3.215837302083512
2.9727561452181157,2.992987360113147,2.9942184958309306,2.9946393005059044,2.99464723294539,2.99456402863595,2.9943901964770223,2.9942353500526737,2.9941027200680654,2.9937769128352167,2.993430879905438,2.992917446541905,2.9923435613104243,2.9915811838881967,2.9911135607242487,2.990707608877846,2.990188850119617,2.9895078638153985,2.9890084594900683,2.9883549590071494,2.987942372985387,2.987434483672,2.9865013646792495,2.9856974460912014,2.9849539158639566,2.9840847235064496,2.982914447710028,2.981675076238088,2.9807993963593518,2.9794449697456797,2.9785535412346595,2.977842870326624,2.977264451186142,2.9765632443039283,2.975477162518138,2.974646559241003,2.9733136744223105,2.9726892538791563,2.9719394153637837,2.971058579015233,2.9702811403583262,2.969814213394691,2.9695431719299905,2.969753001847641,2.970154625530716,2.970782246351736,2.971707948191525,2.973322388105035,2.9758483474041375,2.9775397392441705,2.97640383381078,2.9758290166326553,2.973652877407623
2.971062416308177,2.9830021982499937,2.9864528699606327,2.9879347172868944,2.9888605861533177,2.989713493905482,2.990355045479648,2.9908506763574008,2.991417541546614,2.99167764976094,2.991953944721929,2.9920388150975183,2.992107311488747,2.992127790713208,2.9920867278795455,2.9919945932272127,2.991874147709141,2.9917247246583116,2.9914499811058084,2.991104457321748,2.9907584471980844,2.9903381536531017,2.9897741526720125,2.989196180831683,2.9888033128535008,2.987745140321789,2.986955776933873,2.986202411659091,2.9853700679959143,2.9842785480783287,2.9834902997771056,2.982384059045922,2.981323900988702,2.9803746893686247,2.97907040124141,2.9780238377499795,2.9773192215874054,2.9762225563750513,2.9753151328181677,2.974508922732315,2.973946286187487,2.9734466023105117,2.9730277523504998,2.972673004590166,2.972595592424973,2.9727073735337926,2.9733654259382463,2.9739480453957308,2.9751753060871198,2.9762380950199234,2.9775193684680366,2.979435614181088,2.9815404665233967
2.968656159762789,2.9870138789236917,2.9896836839536225,2.990831980509796,2.9917877919581333,2.992528744054069,2.9931275575507983,2.993858787728665,2.9943261108582684,2.99472679817787,2.994913007725627,2.995165867646424,2.995308941548391,2.9954242583498822,2.995441243772856,2.995406268109864,2.995281495098487,2.995076973543771,2.9948238507718647,2.9946476322694227,2.994492972391413,2.994056331252833,2.9935503497441673,2.993245212563671,2.992719525588831,2.992310239566568,2.9919507397673333,2.991287079339881,2.990623637995278,2.9900667272106483,2.989481819857237,2.988830486854753,2.987735174688769,2.9869129957716507,2.986036237272565,2.9850686136723628,2.984305642398052,2.9833632278920956,2.9824352112944976,2.980992206484469,2.97979901757491,2.978428936938086,2.9774591053135637,2.9766092570170692,2.9757886570516865,2.9752347658096543,2.9748281581230773,2.9747597471678278,2.9752169026737407,2.9761709425181726,2.977112349308842,2.9764835341934774,2.976685219546427
2.9653498939067817,2.984061192136592,2.986975735751466,2.9885695908959464,2.990120209731702,2.9907081437322893,2.9913000769866724,2.992017701401774,2.9924672960603416,2.9931170913666163,2.99341908661153,2.993692841477543,2.993883114640648,2.994089479608616,2.994203541568805,2.994233238622808,2.994220314099538,2.9941770477974865,2.9941297586655686,2.9940331647024094,2.993815649207308,2.9936412894438593,2.993308460741829,2.9928710006071837,2.9925640523764647,2.9921037389147886,2.991532182887007,2.991043519970095,2.99037054435871,2.989671647864154,2.9887241868067367,2.9876725166164952,2.986835236726998,2.9861153649792405,2.985116309666848,2.9841349944004794,2.9833600533530404,2.98219556755735,2.9814745784894185,2.9800174212425197,2.9788940441842056,2.9772303465354133,2.9754624461850145,2.9741181913164154,2.9733395217535636,2.972776141107891,2.9719129928924857,2.9708055373693045,2.97020301843711,2.969726829018504,2.969907091914918,2.9741823335994213,2.9826542632497595
