0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
3.1922195,3.411629,3.0693374,2.7706096,2.735959,2.7208219,2.7006433,2.6728477,2.6373003,2.605357,2.5524716,2.5088627,2.4826357,2.459344,2.431874,2.4038758,2.369893,2.3217447,2.268747,2.2348423,2.2124953,2.1949108,2.1965735,2.2751691,2.4078135,3.1837506
2.5898871,2.8567078,3.61926,3.8563747,3.9557521,4.041321,4.151286,4.288639,4.3932047,4.456456,4.5140133,4.7044425,4.8267913,4.96849,5.2256556,5.3974724,5.4940906,5.652765,5.9507546,6.1984096,6.804679,7.396681,8.10019,8.728484,10.425361,14.466659
2.747041,2.6920395,2.7022705,2.6824725,2.6656706,2.6554267,2.641456,2.6324096,2.623366,2.610033,2.5982156,2.581334,2.5906572,2.6211932,2.656349,2.6976511,2.737626,2.7799118,2.7955747,2.8206747,2.8498335,2.8684227,2.8844717,2.9044533,2.9262202,2.9443374
2.9405792,2.7471178,2.8857217,2.9630868,3.0268269,3.0715225,3.1042705,3.0968478,3.0414824,2.9464169,2.9048502,2.8355968,2.7567809,2.713768,2.701541,2.6909258,2.6880987,2.686265,2.6895528,2.6946068,2.703475,2.7107563,2.7245347,2.7329814,2.7525554,2.785175
2.872327,2.7192166,2.6784017,2.6725993,2.6708555,2.6679058,2.6643,2.662847,2.6558561,2.579902,2.4421175,2.3215404,2.2464862,2.219644,2.1934495,2.1656919,2.1528602,2.1381745,2.1097882,2.092916,2.0744271,2.0585618,2.0280142,2.007421,2.0060792,2.0082777
2.6974437,2.7133243,2.6290789,2.6290576,2.6290195,2.6289897,2.624601,2.618413,2.6089919,2.5898912,2.5700386,2.5429273,2.5132365,2.5016978,2.4937608,2.4850848,2.4805214,2.471845,2.465401,2.4584978,2.4550831,2.453465,2.451026,2.4506755,2.451948,2.4732814
2.817716,2.9340641,2.837683,2.7626476,2.6898584,2.6774352,2.6653163,2.6533124,2.6447492,2.6391518,2.6409926,2.6579833,2.6775043,2.7251594,2.7405221,2.759711,2.7870743,2.7994072,2.8138642,2.826963,2.8402944,2.8497143,2.8607352,2.8720677,2.8957558,3.1187248
2.8547425,2.8701746,2.9158235,2.92034,2.933071,2.9294298,2.909657,2.893366,2.877488,2.8495,2.8153586,2.7869666,2.7753441,2.7641087,2.7597513,2.760744,2.7616444,2.7620704,2.7502496,2.7216308,2.6517437,2.5966861,2.5239542,2.5301359,2.6186507,2.805554
2.8175144,2.8210363,2.8096995,2.8107162,2.8104825,2.81019,2.8124616,2.8160746,2.8205855,2.824603,2.831421,2.8349164,2.844559,2.8528612,2.859884,2.8707988,2.8885114,2.9104218,2.9391682,2.9872527,3.004903,3.0212119,3.0275512,3.0220673,2.988767,2.9238274
2.8261747,2.830535,2.833966,2.8307247,2.8288026,2.827026,2.8262877,2.8258884,2.8257163,2.8256335,2.8257282,2.8258646,2.8260717,2.8261845,2.8243308,2.823817,2.8239667,2.8250818,2.8240445,2.8230686,2.8234346,2.824368,2.8131032,2.7999349,2.790492,2.8664591
2.8306873,2.8316615,2.8330026,2.8354564,2.8388865,2.8402796,2.8404677,2.840542,2.8404043,2.840263,2.8396828,2.8391871,2.8391676,2.8391476,2.8390203,2.8396156,2.8408844,2.8424554,2.846654,2.8516722,2.8574138,2.86809,2.880498,2.9021115,2.9284654,3.1135304
2.833397,2.8333447,2.8318017,2.831255,2.831603,2.8315935,2.83159,2.8315647,2.8316505,2.8321366,2.8324027,2.8325963,2.8332286,2.8338156,2.834346,2.8354814,2.8366828,2.8386903,2.8409164,2.8448532,2.850064,2.853029,2.859428,2.8653407,2.883908,3.032368
