0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2.64680297951639,2.6671052835290747,2.6427501668398774,2.638353701943642,2.632711373624136,2.6210538462462494,2.60789231452493,2.5969334134947584,2.6221241824383834,2.6765908840523496,2.590068828840306,2.662197535023967,2.549351518042455,2.580409307707854,2.6266520416567025,2.67037225338693,2.6889759371834145,2.713594039411425,2.7171913531350924,2.6561732671546183,
2.647773813018762,2.6741768328584365,2.6456022630935006,2.635647551207423,2.623869022938095,2.6132803414098253,2.599544909498116,2.6586325501102945,2.7292011453574987,2.585267913646049,2.579554526122424,2.538758787269291,2.5453639144720603,2.6204453142967603,2.6571561213073083,2.6789424255420387,2.700872327429616,2.712466175117416,2.7165396660111316,2.708493513273289,2.6070532307973204
2.545770954089606,2.6261084834755315,2.6857516913329835,2.691340789530703,2.6737375952352793,2.623466997364303,2.5716183568322046,2.5075111366076506,2.5210410583806766,2.573634529616283,2.715192009937988,2.663649546937594,2.6112335401750815,2.572025914881868,2.601271024976935,2.6217837710209024,2.651939330500893,2.6743296158058945,2.6557819381175345,2.418154451855422,
2.3084907255355978,2.527869732708234,2.5532741017837735,2.5782270516750487,2.572872481493866,2.5072847543491132,2.3974625610706837,2.4086839778430233,2.4542839766578592,2.577756233107727,2.555273765781448,2.4245543423985976,2.3793116830311005,2.4572977647623695,2.5244763390327356,2.566733660564407,2.6222088238839074,2.5734983893048784,2.507653449344699,2.351031622035581,
2.0784158756561233,2.4283928901607443,2.4344369274174067,2.4596265360569842,2.5093152427865113,2.475945764077325,2.321325044253031,2.268875180906982,2.368880036706996,2.5256373470161786,2.390687985289538,2.35143622561347,2.3412674343434148,2.345033981488095,2.4870494909081233,2.46945131778575,2.3978287919666617,2.3831984418017553,2.3492491894275442,2.23816874759359,
2.379287084065022,2.382334514545686,2.3618180118864642,2.3584381890082082,2.372823697044905,2.429511738425437,2.4486236663889955,2.380476624059901,2.3647500353363076,2.45088228291017,2.5170942701373247,2.3697007169156716,2.360058091851102,2.3713685758259286,2.3468348214593817,2.3500814317476104,2.3476607717183553,2.362919350706333,2.3985623615340463,2.395449447864448,
1.9116662966039324,2.335546082126381,2.380363052467708,2.377498107717532,2.39425160704272,2.419867415008039,2.4328954474359734,2.4611220571017633,2.498777795976153,2.5718712986931687,2.545829260341283,2.4908011433017614,2.450313700792945,2.4284569005773706,2.4007543893193173,2.383682073467742,2.3652828480700703,2.367510477012273,2.288209303364534,2.1257114534253043,
2.051287688493036,2.3379210313593295,2.35454649110024,2.3683695134468814,2.3988267576791262,2.419352827054742,2.4326096830324007,2.4581008684593435,2.508962199845459,2.550525101127704,2.5733942732058446,2.5714992147249505,2.5092369489448907,2.4854540414622672,2.448311717758639,2.417997878528435,2.4005616736925215,2.3707734698592984,2.330248953234797,2.278018170034503,2.0380493941129147
1.925894442691854,2.113436786280746,2.2565856587729662,2.3765595097494576,2.392135532670111,2.3810769153509597,2.3791442065376742,2.389190663950987,2.438928908261928,2.5117793011098906,2.572611485863243,2.4955045815296164,2.438202619224114,2.4079749417640595,2.3980481345113556,2.397900497677197,2.3977129515492126,2.3023442701198875,2.1103898335339513,1.804995480910695,
2.268579697905484,2.3118188284776444,2.411327544887485,2.4128078038937337,2.4008108710926606,2.405617512856324,2.417770688515316,2.427186944678791,2.444791737019709,2.5642919391338173,2.5636283809504614,2.515797221333004,2.463270444680709,2.456979132110563,2.4431211725992696,2.4050203709828932,2.377741852706548,2.3918998709489934,2.401856788171415,2.377998540093736,2.1177494512325583
2.025787812644961,2.335230769782231,2.4075930558393086,2.4787008390801657,2.5209105047206917,2.546147296502726,2.5529401691918614,2.5524657192292017,2.552793874880523,2.55954472290801,2.533493448805985,2.566933675471799,2.5345667737979425,2.5488234078829968,2.546908406878544,2.5483490898789034,2.5454862952063673,2.5126638144616478,2.432552383405379,2.0207612543927502,
2.063343177994498,2.4003033996063396,2.483110584061721,2.51644250817795,2.5268638641132695,2.5393449619235966,2.545810048406332,2.5332671655319094,2.5665539196972835,2.568513360694345,2.5613176588008186,2.538182857600009,2.5593856056119906,2.5591400887842393,2.5501829727217884,2.539025354751163,2.5302396141746746,2.520224222256527,2.4725588309025297,2.380692511914589,2.250831580938014
