group,batch,old_filename,new_filename
group1,1,sid3629-clean-COSINE-4174-F_close_72.wav,batch1_pair8-audio2.wav
group1,1,sid2579-noisy-COSINE-3231-F_array1_81_freqbin1_scaled10.0.wav,batch1_pair9-audio1.wav
group1,1,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch1_pair9-audio2.wav
group1,1,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch1_pair10-audio1.wav
group1,1,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch1_pair10-audio2.wav
group1,1,sid3629-clean-COSINE-4174-F_close_72_freqbin0_scaled0.5.wav,batch1_pair11-audio1.wav
group1,1,sid3629-clean-COSINE-4174-F_close_72.wav,batch1_pair11-audio2.wav
group1,1,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch1_pair12-audio1.wav
group1,1,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin1_scaled10.0.wav,batch1_pair12-audio2.wav
group1,1,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch1_pair13-audio1.wav
group1,1,sid2579-noisy-COSINE-3231-F_array1_81_freqbin1_scaled1000.0.wav,batch1_pair13-audio2.wav
group1,1,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch1_pair14-audio1.wav
group1,1,sid4715-noisy-COSINE-6463-F_array1_69_freqbin40_scaled0.5.wav,batch1_pair14-audio2.wav
group1,1,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch1_pair15-audio1.wav
group1,1,sid4715-noisy-COSINE-6463-F_array1_69_freqbin40_scaled10.0.wav,batch1_pair15-audio2.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair0-audio1.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair0-audio2.wav
group1,2,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch2_pair1-audio1.wav
group1,2,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin3_scaled0.5.wav,batch2_pair1-audio2.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair2-audio1.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair2-audio2.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin4_scaled1000.0.wav,batch2_pair3-audio1.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair3-audio2.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair4-audio1.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin41_scaled0.5.wav,batch2_pair4-audio2.wav
group1,2,sid1816-anchor-COSINE-2734-M_close_91.wav,batch2_pair5-audio1.wav
group1,2,sid1816-anchor-COSINE-2734-M_close_91_freqbin41_scaled10.0.wav,batch2_pair5-audio2.wav
group1,2,sid1816-anchor-COSINE-2734-M_close_91.wav,batch2_pair6-audio1.wav
group1,2,sid1816-anchor-COSINE-2734-M_close_91_freqbin41_scaled0.5.wav,batch2_pair6-audio2.wav
group1,2,sid1816-anchor-COSINE-2734-M_close_91.wav,batch2_pair7-audio1.wav
group1,2,sid1816-anchor-COSINE-2734-M_close_91.wav,batch2_pair7-audio2.wav
group1,2,sid1816-anchor-COSINE-2734-M_close_91_freqbin41_scaled1000.0.wav,batch2_pair8-audio1.wav
group1,2,sid1816-anchor-COSINE-2734-M_close_91.wav,batch2_pair8-audio2.wav
group1,2,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin3_scaled1000.0.wav,batch2_pair9-audio1.wav
group1,2,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch2_pair9-audio2.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair10-audio1.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin4_scaled0.5.wav,batch2_pair10-audio2.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair11-audio1.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin41_scaled10.0.wav,batch2_pair11-audio2.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair12-audio1.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin41_scaled1000.0.wav,batch2_pair12-audio2.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch2_pair13-audio1.wav
group1,2,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin4_scaled10.0.wav,batch2_pair13-audio2.wav
group1,2,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin3_scaled10.0.wav,batch2_pair14-audio1.wav
group1,2,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch2_pair14-audio2.wav
group1,2,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch2_pair15-audio1.wav
group1,2,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch2_pair15-audio2.wav
group1,3,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch3_pair0-audio1.wav
group1,3,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch3_pair0-audio2.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin5_scaled10.0.wav,batch3_pair1-audio1.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair1-audio2.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair2-audio1.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin40_scaled0.5.wav,batch3_pair2-audio2.wav
group1,3,sid3629-clean-COSINE-4174-F_close_72_freqbin40_scaled1000.0.wav,batch3_pair3-audio1.wav
group1,3,sid3629-clean-COSINE-4174-F_close_72.wav,batch3_pair3-audio2.wav
group1,3,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch3_pair4-audio1.wav
group1,3,sid4715-noisy-COSINE-6463-F_array1_69_freqbin4_scaled0.5.wav,batch3_pair4-audio2.wav
group1,3,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch3_pair5-audio1.wav
group1,3,sid4715-noisy-COSINE-6463-F_array1_69_freqbin4_scaled10.0.wav,batch3_pair5-audio2.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair6-audio1.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin5_scaled1000.0.wav,batch3_pair6-audio2.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair7-audio1.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair7-audio2.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair8-audio1.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin40_scaled1000.0.wav,batch3_pair8-audio2.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair9-audio1.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin5_scaled0.5.wav,batch3_pair9-audio2.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair10-audio1.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated_freqbin40_scaled10.0.wav,batch3_pair10-audio2.wav
group1,3,sid3629-clean-COSINE-4174-F_close_72_freqbin40_scaled10.0.wav,batch3_pair11-audio1.wav
group1,3,sid3629-clean-COSINE-4174-F_close_72.wav,batch3_pair11-audio2.wav
group1,3,sid4715-noisy-COSINE-6463-F_array1_69_freqbin4_scaled1000.0.wav,batch3_pair12-audio1.wav
group1,3,sid4715-noisy-COSINE-6463-F_array1_69.wav,batch3_pair12-audio2.wav
group1,3,sid3629-clean-COSINE-4174-F_close_72_freqbin40_scaled0.5.wav,batch3_pair13-audio1.wav
group1,3,sid3629-clean-COSINE-4174-F_close_72.wav,batch3_pair13-audio2.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair14-audio1.wav
group1,3,sid0101-clean-COSINE-0100-M_close_202-truncated.wav,batch3_pair14-audio2.wav
group1,3,sid3629-clean-COSINE-4174-F_close_72.wav,batch3_pair15-audio1.wav
group1,3,sid3629-clean-COSINE-4174-F_close_72.wav,batch3_pair15-audio2.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin3_scaled1000.0.wav,batch4_pair0-audio1.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair0-audio2.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair1-audio1.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin3_scaled10.0.wav,batch4_pair1-audio2.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair2-audio1.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair2-audio2.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair3-audio1.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81_freqbin31_scaled0.5.wav,batch4_pair3-audio2.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated.wav,batch4_pair4-audio1.wav
group1,4,sid0999-noisy-COSINE-1399-F_array1_68-truncated_freqbin2_scaled1000.0.wav,batch4_pair4-audio2.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair5-audio1.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair5-audio2.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81_freqbin31_scaled10.0.wav,batch4_pair6-audio1.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair6-audio2.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81.wav,batch4_pair7-audio1.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81_freqbin5_scaled0.5.wav,batch4_pair7-audio2.wav
group1,4,sid2579-noisy-COSINE-3231-F_array1_81_freqbin31_scaled1000.0.wav,batch4_pair8-audio1.wav
