file,freqbin_0,freqbin_1,freqbin_2,freqbin_3,freqbin_4,freqbin_5,freqbin_6,freqbin_7,freqbin_8,freqbin_9,freqbin_10,freqbin_11,freqbin_12,freqbin_13,freqbin_14,freqbin_15,freqbin_16,freqbin_17,freqbin_18,freqbin_19,freqbin_20,freqbin_21,freqbin_22,freqbin_23,freqbin_24,freqbin_25,freqbin_26,freqbin_27,freqbin_28,freqbin_29,freqbin_30,freqbin_31,freqbin_32,freqbin_33,freqbin_34,freqbin_35,freqbin_36,freqbin_37,freqbin_38,freqbin_39,freqbin_40,freqbin_41,freqbin_42,freqbin_43,freqbin_44,freqbin_45,freqbin_46,freqbin_47,freqbin_48,freqbin_49,freqbin_50,freqbin_51,freqbin_52,freqbin_53,freqbin_54,freqbin_55,freqbin_56,freqbin_57,freqbin_58,freqbin_59,freqbin_60,freqbin_61,freqbin_62,freqbin_63,freqbin_64,freqbin_65,freqbin_66,freqbin_67,freqbin_68,freqbin_69,freqbin_70,freqbin_71,freqbin_72,freqbin_73,freqbin_74,freqbin_75,freqbin_76,freqbin_77,freqbin_78,freqbin_79,freqbin_80,freqbin_81,freqbin_82,freqbin_83,freqbin_84,freqbin_85,freqbin_86,freqbin_87,freqbin_88,freqbin_89,freqbin_90,freqbin_91,freqbin_92,freqbin_93,freqbin_94,freqbin_95,freqbin_96,freqbin_97,freqbin_98,freqbin_99,freqbin_100,freqbin_101,freqbin_102,freqbin_103,freqbin_104,freqbin_105,freqbin_106,freqbin_107,freqbin_108,freqbin_109,freqbin_110,freqbin_111,freqbin_112,freqbin_113,freqbin_114,freqbin_115,freqbin_116,freqbin_117,freqbin_118,freqbin_119,freqbin_120,freqbin_121,freqbin_122,freqbin_123,freqbin_124,freqbin_125,freqbin_126,freqbin_127,freqbin_128,freqbin_129,freqbin_130,freqbin_131,freqbin_132,freqbin_133,freqbin_134,freqbin_135,freqbin_136,freqbin_137,freqbin_138,freqbin_139,freqbin_140,freqbin_141,freqbin_142,freqbin_143,freqbin_144,freqbin_145,freqbin_146,freqbin_147,freqbin_148,freqbin_149,freqbin_150,freqbin_151,freqbin_152,freqbin_153,freqbin_154,freqbin_155,freqbin_156,freqbin_157,freqbin_158,freqbin_159,freqbin_160
sid4173-anchor-COSINE-5534-F_close_177.wav,0.0,0.0,0.0,-0.022171458128993,0.0,0.0,-0.0106412313625258,0.0,-0.0158364866804372,-0.0238532486666262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0111740301189481,0.0,0.0,0.0,-0.0125803995418315,0.0,0.0,-0.0100317579104994,0.0,-0.013086358684748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0054866524136409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0082530005151866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sid4757-anchor-COSINE-7000-F_close_113.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0248390895142553,0.007077102630789,0.002109527354208,0.0201867568871286,0.0380977817279016,0.0306144913362786,0.0,0.0113532367411847,0.0,0.0,0.0,0.0,0.0,0.0,0.0229357885696896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0142195514056004,0.0,0.0,0.0,0.0,0.0,0.0107360360180075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018283771407477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002773972183138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017835978277454,0.0,0.0109001310644201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045211868059819,0.0,0.0,0.0,0.0,0.0031035901562287,0.0,0.0119911020126222,0.0043698462839945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063613035445703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0158742635943035,0.0106079372671045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064711530694751,0.0
sid3359-anchor-COSINE-3904-M_close_153.wav,0.0,0.0,0.0,0.0,0.0,0.0719311689985904,0.0496943833675953,0.0067635666969856,0.0084573144374362,0.0028371144396077,0.0,0.0,0.0032465652794515,0.0,0.0025637943122236,0.0,0.0049410894545226,0.0380681301308559,0.0,0.0,0.0047786979377786,0.0,0.0,0.0046094992375542,0.0130351132532971,0.0221658991224096,0.0,0.010892760438046,0.0036532975242876,0.0,0.0,0.0,0.0101886995682667,0.021643505711406,0.0075966421259392,0.0109771497170523,0.0,0.0,0.0,0.0,0.0,0.0108193365648072,0.0124518056062995,0.0,0.0,0.0,0.0145166718541893,0.0123812707238761,0.0,0.0,0.0,0.0117174470329108,0.0035007316048379,0.0091574162263227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0062629310441776,0.0,0.0,0.0,0.0,0.0,0.0045589259564173,0.0,0.0,0.0,0.0,0.0059653921497863,0.0,0.0032807430436242,0.0,0.0,0.0,0.0,0.0,0.0092853653564209,0.0,0.0,0.0,0.005809801585526,0.0,0.0063304899486607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034278527829128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064069367052558,0.0,0.0,0.0,0.0022350147837637,0.0075814738174551,0.0041687920170406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067915502164669,0.0073198034250633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0050952594111068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sid5417-noisy-COSINE-7408-M_array1_76.wav,0.0,0.0,-0.02770594672408,0.0247385004800855,0.0,-0.02547675889562,0.0,0.0,0.0,-0.0295883871251855,0.0256261761045014,0.0,0.0,0.0,0.0,-0.0509221822270713,0.0,-0.0363905453170974,0.0,-0.0409595994032526,-0.0586537097991921,-0.0134815387664839,0.0,0.0,-0.0283510061504094,0.0,0.0,-0.026614773548621,0.0,0.0459426298608999,0.0,0.0,0.0,0.0,0.0,0.0395312189661891,0.0,-0.028657999118678,0.0,0.0,0.0,0.0,0.0,-0.0285571772100575,0.0,0.0,0.0,0.0,-0.0236581174431836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0419587143284061,0.0,0.0,0.0,0.0,-0.0392583576619967,0.0,-0.0449493890095981,0.02281636268588,0.0,0.0,0.0,-0.0262949555726715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0391294899622528,-0.0512490639232319,0.0,0.0366957975231744,0.0,0.0,0.0340219109080022,0.0,0.0270358284844113,0.0,0.0367854892170501,0.0,0.0,0.0,0.0280230563865451,0.0,0.0,0.0,0.0377899204633096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0300096893973671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191483495523816,0.0,0.0,-0.0527099967850453,0.0,-0.0112702508224507,0.0,-0.0239410312274861,0.0,0.0327991630218001,-0.0223054620474596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030632563927168,0.0514104318128094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0327546523776702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037385303480008,0.0,0.0,0.0,0.0,0.0
sid4331-clean-COSINE-5897-F_close_166.wav,0.0,0.0,0.0305026766957415,0.0,0.0,0.0047956939117884,0.0,0.0,0.0,0.0031061119279594,0.0090571708307027,0.0,0.0,0.0229451349599722,0.0076843088569668,0.0,0.0,0.0,0.0,0.0,0.0053776287894647,0.0,0.0,0.0,0.0,0.0030247441674984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0071155249336933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089753020943766,0.0,0.0,0.0,0.0,0.0,0.0028458063459184,0.011436204200942,0.0,0.0036296792234517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sid2144-noisy-COSINE-2828-M_array1_82-truncated.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017198452002614,-0.0055018747718976,0.0,0.0,0.0,-0.013720842262854,0.0668937930130756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0343877805669926,0.0,-0.0085892665638177,0.0,-0.0144012883558262,-0.0311790591868597,0.0,0.0,-0.0184946263047056,0.0,0.0,-0.0044636170902577,0.0,-0.0121363250481337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0188899025595506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0038005266067489,-0.0089342586310398,-0.0108855967284644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0070466163448932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sid5534-clean-COSINE-7551-F_close_96.wav,0.0,0.0341974375393313,0.0,0.0,0.1441534547424729,0.0,0.0761635731307122,0.0365630125066865,0.024633422670434,0.0,0.0234843731023492,0.026808113336242,0.0,0.0188207495892003,0.0371060886107166,0.0,0.0,0.0,0.0,0.0,0.0,0.0265763315026226,0.046131119510939,0.0456017209602111,0.0158089446293526,0.0,-0.0640775043554335,0.0477386401790409,0.0,0.0,0.006383702659435,-0.0583606644626867,0.0162493124928899,0.0,0.0,0.0362020812743953,0.0,0.015496680409614,0.0361723547928581,0.0,0.0,0.0,0.0229860305840999,0.0274254327692542,0.0,0.0,0.0,0.0522085104279243,0.0348483035804904,-0.0403872585086789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0176641003486032,0.0,0.0,0.0,0.0,0.0167420785221569,0.0,0.0423986391982555,0.024994988686133,0.0,0.0,0.0,0.0,0.034192762140884,0.0,0.0405002629082621,0.0,0.0,-0.0561471824562875,0.0,-0.0414857397647621,0.0,0.0320390646418914,0.0,0.0251907021877612,0.0,0.0331334155129439,0.0,0.0,0.0,0.0,0.0,-0.0736801884941209,-0.0293183306985187,-0.0972482654527276,0.0249024501180914,0.0,-0.0627136872348325,0.0,0.0397845989207801,0.0,-0.0555398787491726,0.0197455621748237,-0.0975002434687155,0.0,0.0,0.0,0.0,0.0,0.0200044696654277,-0.0307356709401201,-0.0476045132011785,0.0,0.0,0.0,0.0,0.0200676778608646,0.049824847286507,0.0,-0.0541011417646879,-0.0768008466094331,-0.0335356484162436,0.0,0.0369986617155622,0.0230398027034161,0.0195361937717757,0.0,0.0580674049261496,0.0206224664139639,0.0112571133558183,0.0361506278648464,0.0,0.0121146092104359,0.0,0.0,0.0,0.0,0.0215582215788058,0.0,-0.0439230775438345,-0.078463583797384,0.0,0.0,0.0,-0.0537523923478298,0.032124443378275,0.0281095418209981,0.0052401753136418,0.0,0.0,0.0,0.0,0.0269057540757358,-0.0364946773886471,-0.0517200094681608,0.0,0.0153107880717504,0.0,0.0,0.0,0.0,-0.0665510436964699,0.0,0.0678928863829346
sid2565-clean-COSINE-3231-F_close_65.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0177589740474985,0.0,0.0142389142842817,0.0442343962929155,0.0,0.0206321218423622,0.0297459658013278,0.0,0.033530502663875,0.0315772478124736,0.0097389899290744,0.0,0.0,0.0023640447092731,0.0,0.0,0.0236611653945018,0.0,0.0,0.009419898388076,0.0,0.0,0.0,0.0045630532403185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001360796214229,0.0,0.0,0.0,0.0,0.0,0.0,0.0085512616947593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0219189664393837,0.0,0.0,0.0,0.0166484793938662,0.0,0.0,0.0041471551235852,0.0,0.0,0.0,0.0006225802865011,0.0,0.0,0.0,0.0,0.0,0.0058955904741271,0.0050619679971213,0.005753825627593,0.0075568036450031,0.0089071178096985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092526243398444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014449778207152,0.0,0.0,0.0,0.0,0.0,0.0107151559645643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0273132064826657,0.0,0.0,0.0049736468774094,0.0,0.0,0.0008241063417549,0.0065280449740802,0.0199113004461707,0.0,0.0,0.0,0.0,0.0,0.0,0.0018259476670888,0.0,0.0013599737767127,0.0037629844020998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0028624424915318,0.0,0.0,0.0,0.0,0.0,0.0,0.0239406481653417,0.0,0.0,0.003681492779324,0.0,0.0
sid3543-clean-COSINE-3904-M_close_91.wav,0.0,0.0,0.0,0.0439698891669543,0.0,0.0,0.033690408720614,0.0148381616353275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020468365042178,0.0055040625891168,0.0,0.0,0.0,0.0167875839598991,0.0067335698038635,0.0009620017181401,0.0188846346600336,0.0183427381960169,0.0,0.0195149064248119,0.0323663820010902,0.0,0.0,0.0,0.016578176807197,0.0012206618142576,0.0,0.0093906133200878,0.0103381879176573,0.0,0.0,0.0,0.0107229584933438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063746083481779,0.0,0.0,0.0030375816182742,0.008700683951404,0.0,0.0112233634261647,0.0,0.0,0.0144401755384572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0045678235948191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0061495730053679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032465438711343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sid0876-clean-COSINE-1399-F_close_260.wav,0.0,0.0,0.0133594367442303,0.0452426969698062,0.0350138370557845,0.0,0.0098363829763426,0.0,0.0021590399759386,0.0,0.0129527570007926,0.0,0.0,0.0173840440769147,0.0,0.0008481889073169,0.0,0.0076968572225761,0.0005044040840735,0.017114304961527,0.0,0.0027438451661065,0.0035269423434503,0.0085214399673971,0.0071408547768657,0.0,0.0081515440249108,0.0,0.0183777837140749,0.0209762780339067,0.0134411391325517,0.0,0.0209939321990323,0.0,0.0,8.982966106673233e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0059977867018517,0.0118391998801903,0.0,0.0,0.0015394267538333,0.0036885455690973,0.0,0.0,0.0025869457298747,0.0018344704077061,0.0,0.005176709624341,0.0,0.0,0.0229127431228402,0.0,0.0,0.0008995869029259,0.0,0.0,0.0189082088958992,0.0,0.0,0.0,0.0,0.0,0.0090096778057227,0.0,0.0,0.0053429435690916,0.0,5.0315636308935225e-05,0.0098565535810712,0.0203609664075034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060921096330458,0.010265292974809,0.0,0.0,0.0,0.0115212866728791,0.0,0.0119782905597916,0.0,0.0026208157128915,0.0043872298298082,0.0146215179370412,0.0061590260713579,0.0,0.0136467686794244,0.0003800449889611,0.0,0.0,0.0,0.0089055985285903,0.0035739380149405,0.0,0.0,0.0,0.0,0.0105481832958629,0.0234801392234206,0.0,0.0,0.0004542486117733,0.0,0.0070739349410527,0.0047487839585857,0.0,0.0,0.0108938080133805,0.0,0.0,0.0075426326993302,0.0095805709241484,0.0,0.0156067910698987,0.0088035580606947,0.0,0.0,0.0,0.0007575733273047,0.0,0.0,0.0143194160487076,0.0006543232343508,0.0,0.0010388090145018,0.0096626527401641,0.0074092897830723,0.003456920120076,0.0,0.00364389329144,0.0,0.0079555586803737,0.0071543444892538,0.0067777911971322,0.0,0.0,0.0,0.0128070175094961,0.0100074380259146,0.0,0.0,0.0,0.0031141252245817,0.0,0.0082742862303918,0.0,0.0078615815170756,0.0,0.0,0.0057354875338185
